architecture,init_method,selection,crossover,mutation,accuracy,precision,recall,f1_score,f1_std
"(10,)",uniform,tournament_selection,arithmetic_crossover,gaussian_mutation,0.8846153846153847,0.8979053651396697,0.9563218390804596,0.924931719761304,0.03395084893032238
"(10,)",uniform,tournament_selection,arithmetic_crossover,uniform_continuous_mutation,0.8957264957264959,0.8968539117538004,0.9724137931034481,0.9327452784317207,0.01823946686241452
"(10,)",uniform,tournament_selection,one_point_crossover,gaussian_mutation,0.8846153846153848,0.903415167668562,0.9494252873563217,0.924781007183217,0.04037488239350211
"(10,)",uniform,tournament_selection,one_point_crossover,uniform_continuous_mutation,0.8965811965811967,0.903653255042162,0.9655172413793104,0.9327703003191155,0.02808648673359213
"(10,)",uniform,tournament_selection,simulated_binary_crossover,gaussian_mutation,0.9000000000000001,0.9128744607011989,0.9586206896551723,0.9342547120980154,0.022968043266793525
"(10,)",uniform,tournament_selection,simulated_binary_crossover,uniform_continuous_mutation,0.8974358974358976,0.9097717236833408,0.9586206896551724,0.9324624912261015,0.025919236794891064
"(10,)",uniform,roulette_wheel_selection,arithmetic_crossover,gaussian_mutation,0.847863247863248,0.8611059718919128,0.9540229885057471,0.9034440220503295,0.04736398958208476
"(10,)",uniform,roulette_wheel_selection,arithmetic_crossover,uniform_continuous_mutation,0.8820512820512822,0.8905630491504775,0.9609195402298851,0.9233799455270603,0.02897362418026946
"(10,)",uniform,roulette_wheel_selection,one_point_crossover,gaussian_mutation,0.8717948717948719,0.8901410759983874,0.945977011494253,0.9160415788323563,0.03330685332715201
"(10,)",uniform,roulette_wheel_selection,one_point_crossover,uniform_continuous_mutation,0.8743589743589745,0.8928717863542368,0.945977011494253,0.9175959928586125,0.03297892055054394
"(10,)",uniform,roulette_wheel_selection,simulated_binary_crossover,gaussian_mutation,0.8564102564102565,0.8893531293599587,0.9241379310344828,0.905106298848302,0.0360556681957732
"(10,)",uniform,roulette_wheel_selection,simulated_binary_crossover,uniform_continuous_mutation,0.8735042735042736,0.8911781681189681,0.9471264367816092,0.9175127878274626,0.025327389926408587
"(10,)",normal,tournament_selection,arithmetic_crossover,gaussian_mutation,0.8555555555555557,0.8772680625850948,0.9436781609195403,0.9071191818175243,0.039257707045621426
"(10,)",normal,tournament_selection,arithmetic_crossover,uniform_continuous_mutation,0.9000000000000001,0.9018554203335903,0.9712643678160919,0.9346269498286193,0.03441742196540152
"(10,)",normal,tournament_selection,one_point_crossover,gaussian_mutation,0.8854700854700857,0.9000924278778075,0.9528735632183908,0.9248913009558476,0.028955320416972158
"(10,)",normal,tournament_selection,one_point_crossover,uniform_continuous_mutation,0.8957264957264959,0.9067828105819392,0.9586206896551726,0.9314523823483651,0.035624091427853
"(10,)",normal,tournament_selection,simulated_binary_crossover,gaussian_mutation,0.8871794871794874,0.9089425633794376,0.94367816091954,0.9252170620558444,0.03208071835256706
"(10,)",normal,tournament_selection,simulated_binary_crossover,uniform_continuous_mutation,0.8905982905982908,0.904894695236851,0.9540229885057471,0.928118371074661,0.03627965799412135
"(10,)",normal,roulette_wheel_selection,arithmetic_crossover,gaussian_mutation,0.8555555555555556,0.8649430740711495,0.9586206896551722,0.9083426261674897,0.029210069208219423
"(10,)",normal,roulette_wheel_selection,arithmetic_crossover,uniform_continuous_mutation,0.8786324786324788,0.8798916833646189,0.9712643678160918,0.9224164692779954,0.029844498669700938
"(10,)",normal,roulette_wheel_selection,one_point_crossover,gaussian_mutation,0.8846153846153847,0.8999965156892298,0.9528735632183908,0.9243375696267092,0.030682293654311327
"(10,)",normal,roulette_wheel_selection,one_point_crossover,uniform_continuous_mutation,0.8803418803418804,0.8843453245801716,0.9666666666666667,0.9228064328816942,0.0268055640563345
"(10,)",normal,roulette_wheel_selection,simulated_binary_crossover,gaussian_mutation,0.8504273504273505,0.8769115461265234,0.9310344827586208,0.9014430237913614,0.04434023098645319
"(10,)",normal,roulette_wheel_selection,simulated_binary_crossover,uniform_continuous_mutation,0.8632478632478633,0.8867546838902374,0.935632183908046,0.9095848964558096,0.041256011066579036
"(20,)",uniform,tournament_selection,arithmetic_crossover,gaussian_mutation,0.8897435897435899,0.8943036688538496,0.9689655172413794,0.9292022500483841,0.034569595800566205
"(20,)",uniform,tournament_selection,arithmetic_crossover,uniform_continuous_mutation,0.9034188034188035,0.9056787282829971,0.9724137931034481,0.9373106286710036,0.022951936497506698
"(20,)",uniform,tournament_selection,one_point_crossover,gaussian_mutation,0.8846153846153847,0.905887426776609,0.9448275862068963,0.924110537608651,0.038447979126389066
"(20,)",uniform,tournament_selection,one_point_crossover,uniform_continuous_mutation,0.8794871794871797,0.9024302352490942,0.9402298850574713,0.9199312511273677,0.03510012818116262
"(20,)",uniform,tournament_selection,simulated_binary_crossover,gaussian_mutation,0.894871794871795,0.9098660477762258,0.9540229885057471,0.9308188990178567,0.029028650395350034
"(20,)",uniform,tournament_selection,simulated_binary_crossover,uniform_continuous_mutation,0.8931623931623933,0.899956849578406,0.964367816091954,0.9305957103270722,0.025491665917641713
"(20,)",uniform,roulette_wheel_selection,arithmetic_crossover,gaussian_mutation,0.8709401709401711,0.8778229913108451,0.9632183908045977,0.9174289603201726,0.03139068329666346
"(20,)",uniform,roulette_wheel_selection,arithmetic_crossover,uniform_continuous_mutation,0.8641025641025643,0.8967315870044773,0.9264367816091954,0.9094480585765428,0.02886184187076925
"(20,)",uniform,roulette_wheel_selection,one_point_crossover,gaussian_mutation,0.8846153846153846,0.9021350220229609,0.9494252873563217,0.9240152077265079,0.036752990011275175
"(20,)",uniform,roulette_wheel_selection,one_point_crossover,uniform_continuous_mutation,0.8743589743589745,0.892701240868919,0.9459770114942528,0.9173644046288241,0.033565916611814524
"(20,)",uniform,roulette_wheel_selection,simulated_binary_crossover,gaussian_mutation,0.8803418803418804,0.8918581520705885,0.9586206896551723,0.922603304640019,0.023785567974215112
"(20,)",uniform,roulette_wheel_selection,simulated_binary_crossover,uniform_continuous_mutation,0.8675213675213677,0.8891335895563904,0.9402298850574712,0.9128209473207084,0.03403312439469417
"(20,)",normal,tournament_selection,arithmetic_crossover,gaussian_mutation,0.8649572649572651,0.8910508689002572,0.9356321839080459,0.9112296743823726,0.03590458945264207
"(20,)",normal,tournament_selection,arithmetic_crossover,uniform_continuous_mutation,0.9128205128205129,0.9133994613789156,0.9758620689655173,0.9431835099069996,0.022877160941623433
"(20,)",normal,tournament_selection,one_point_crossover,gaussian_mutation,0.8837606837606838,0.9049081593148939,0.9436781609195403,0.9232800469959863,0.02645403372415445
"(20,)",normal,tournament_selection,one_point_crossover,uniform_continuous_mutation,0.906837606837607,0.9221725565148813,0.9563218390804596,0.9383920278623056,0.027781157204426872
"(20,)",normal,tournament_selection,simulated_binary_crossover,gaussian_mutation,0.883760683760684,0.9079314642977973,0.9402298850574712,0.9230575892830684,0.024905044170785377
"(20,)",normal,tournament_selection,simulated_binary_crossover,uniform_continuous_mutation,0.882905982905983,0.893662605092898,0.957471264367816,0.9238525473327631,0.027374905288555088
"(20,)",normal,roulette_wheel_selection,arithmetic_crossover,gaussian_mutation,0.8376068376068377,0.8475188139396651,0.9597701149425288,0.8985891233133697,0.0422907643323935
"(20,)",normal,roulette_wheel_selection,arithmetic_crossover,uniform_continuous_mutation,0.8726495726495728,0.890172301234579,0.9471264367816091,0.9166881823615864,0.033085000982785814
"(20,)",normal,roulette_wheel_selection,one_point_crossover,gaussian_mutation,0.8803418803418805,0.8965997128309419,0.9494252873563217,0.9218010129026752,0.027872883456761446
"(20,)",normal,roulette_wheel_selection,one_point_crossover,uniform_continuous_mutation,0.894871794871795,0.8990818813745346,0.9701149425287355,0.932336878796336,0.02308304204964101
"(20,)",normal,roulette_wheel_selection,simulated_binary_crossover,gaussian_mutation,0.865811965811966,0.8902751734731713,0.935632183908046,0.9114512487502004,0.03695060107196257
"(20,)",normal,roulette_wheel_selection,simulated_binary_crossover,uniform_continuous_mutation,0.8726495726495728,0.8935143677112393,0.9425287356321839,0.9160667345103736,0.03289300019852164
"(10, 5)",uniform,tournament_selection,arithmetic_crossover,gaussian_mutation,0.8743589743589745,0.885881428286756,0.9563218390804596,0.9192082330004836,0.0364293859870403
"(10, 5)",uniform,tournament_selection,arithmetic_crossover,uniform_continuous_mutation,0.8905982905982908,0.885145905380725,0.9816091954022989,0.9303865473890868,0.01594518294612726
"(10, 5)",uniform,tournament_selection,one_point_crossover,gaussian_mutation,0.8905982905982908,0.9040749588112398,0.9563218390804596,0.9287321929044248,0.027332161738836156
"(10, 5)",uniform,tournament_selection,one_point_crossover,uniform_continuous_mutation,0.8820512820512822,0.9018314248973859,0.945977011494253,0.9225146114035955,0.030177092765976167
