init_method,selection,crossover,mutation,accuracy,precision,recall,f1_score
uniform,tournament_selection,arithmetic_crossover,gaussian_mutation,0.9230769230769231,0.90625,1.0,0.9508196721311475
uniform,tournament_selection,arithmetic_crossover,uniform_continuous_mutation,0.9230769230769231,0.90625,1.0,0.9508196721311475
uniform,tournament_selection,one_point_crossover,gaussian_mutation,0.8974358974358975,0.9629629629629629,0.896551724137931,0.9285714285714286
uniform,tournament_selection,one_point_crossover,uniform_continuous_mutation,0.8717948717948718,0.9,0.9310344827586207,0.9152542372881356
uniform,tournament_selection,simulated_binary_crossover,gaussian_mutation,0.9487179487179487,0.9354838709677419,1.0,0.9666666666666667
uniform,tournament_selection,simulated_binary_crossover,uniform_continuous_mutation,0.8717948717948718,0.875,0.9655172413793104,0.9180327868852459
uniform,roulette_wheel_selection,arithmetic_crossover,gaussian_mutation,0.8717948717948718,0.875,0.9655172413793104,0.9180327868852459
uniform,roulette_wheel_selection,arithmetic_crossover,uniform_continuous_mutation,0.8974358974358975,0.9032258064516129,0.9655172413793104,0.9333333333333333
uniform,roulette_wheel_selection,one_point_crossover,gaussian_mutation,0.9230769230769231,0.90625,1.0,0.9508196721311475
uniform,roulette_wheel_selection,one_point_crossover,uniform_continuous_mutation,0.8461538461538461,0.896551724137931,0.896551724137931,0.896551724137931
uniform,roulette_wheel_selection,simulated_binary_crossover,gaussian_mutation,0.9230769230769231,0.90625,1.0,0.9508196721311475
uniform,roulette_wheel_selection,simulated_binary_crossover,uniform_continuous_mutation,0.7692307692307693,0.8333333333333334,0.8620689655172413,0.847457627118644
normal,tournament_selection,arithmetic_crossover,gaussian_mutation,0.8461538461538461,0.8484848484848485,0.9655172413793104,0.9032258064516129
normal,tournament_selection,arithmetic_crossover,uniform_continuous_mutation,0.9230769230769231,0.9333333333333333,0.9655172413793104,0.9491525423728814
normal,tournament_selection,one_point_crossover,gaussian_mutation,0.9230769230769231,0.9642857142857143,0.9310344827586207,0.9473684210526315
normal,tournament_selection,one_point_crossover,uniform_continuous_mutation,0.7948717948717948,0.8620689655172413,0.8620689655172413,0.8620689655172413
normal,tournament_selection,simulated_binary_crossover,gaussian_mutation,0.8974358974358975,0.8787878787878788,1.0,0.9354838709677419
normal,tournament_selection,simulated_binary_crossover,uniform_continuous_mutation,0.8717948717948718,0.9,0.9310344827586207,0.9152542372881356
normal,roulette_wheel_selection,arithmetic_crossover,gaussian_mutation,0.5897435897435898,0.782608695652174,0.6206896551724138,0.6923076923076923
normal,roulette_wheel_selection,arithmetic_crossover,uniform_continuous_mutation,0.8717948717948718,0.8529411764705882,1.0,0.9206349206349206
normal,roulette_wheel_selection,one_point_crossover,gaussian_mutation,0.9487179487179487,0.9354838709677419,1.0,0.9666666666666667
normal,roulette_wheel_selection,one_point_crossover,uniform_continuous_mutation,0.8717948717948718,0.875,0.9655172413793104,0.9180327868852459
normal,roulette_wheel_selection,simulated_binary_crossover,gaussian_mutation,0.8974358974358975,0.9032258064516129,0.9655172413793104,0.9333333333333333
normal,roulette_wheel_selection,simulated_binary_crossover,uniform_continuous_mutation,0.8974358974358975,0.9032258064516129,0.9655172413793104,0.9333333333333333
